Label,Rep,Height_1_cm,Height_2_cm,Height_3_cm,Average_Height,Time,flux,swc,ts,EC,Date,Treatment,Ants,Treatment_binned,Rainfall
11,2,6,8,8.5,7.5,12:15,5.116,0.16,30.66,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
11,3,6,8,8.5,7.5,12:16,4.432,0.16,30.44,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
12,1,7,7,8,7.3,12:04,2.776,0.17,30.27,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
12,2,7,7,8,7.3,12:05,3.302,0.17,30.04,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
12,3,7,7,8,7.3,,3.609,0.17,29.34,0,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
13,1,5,6.5,6.5,6,11:54,7.853,0.08,30.28,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
13,2,5,6.5,6.5,6,11:55,8.62,0.09,30.44,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
13,3,5,6.5,6.5,6,11:57,8.64,0.09,30.74,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
14,1,7,5,7,6.3,11:46,1.904,0.06,31.22,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
14,2,7,5,7,6.3,11:47,1.626,0.05,30.9,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
14,3,7,5,7,6.3,11:49,1.654,0.06,30.64,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
15,1,7,7,8.5,7.5,11:38,4.086,0.34,28.84,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
15,2,7,7,8.5,7.5,11:39,3.978,0.34,28.94,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
15,3,7,7,8.5,7.5,11:41,3.928,0.34,29.09,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,1,7.5,6.5,7,7,11:31,3.787,0.3,28.93,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,2,7.5,6.5,7,7,11:32,4.118,0.31,28.81,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
16,3,7.5,6.5,7,7,11:33,4.591,0.31,28.67,0.01,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
17,1,7,7,7.5,7.2,11:23,3.868,0.12,29.28,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
17,2,7,7,7.5,7.2,11:25,3.853,0.13,29.17,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
17,3,7,7,7.5,7.2,11:26,4.37,0.13,28.95,0,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
18,1,2,6.5,6.5,5,11:14,12.771,0.19,27.86,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
18,2,2,6.5,6.5,5,11:15,14.509,0.19,28.01,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
18,3,2,6.5,6.5,5,11:17,15.968,0.19,28.25,0,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
19,1,6.5,10,9,8.5,11:05,1.861,0.34,27.7,0.01,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
19,2,6.5,10,9,8.5,11:07,2.015,0.34,27.4,0.01,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
19,3,6.5,10,9,8.5,11:08,2.423,0.34,27.1,0.01,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
20,1,6,6.5,6.5,6.3,10:58,8.313,0.28,28.66,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
20,2,6,6.5,6.5,6.3,10:59,8.865,0.28,28.93,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
20,3,6,6.5,6.5,6.3,11:00,9.061,0.28,28.81,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
21,1,6.5,6,5.5,6,10:49,4.485,0.34,26.54,0.01,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
21,2,6.5,6,5.5,6,10:51,4.848,0.34,26.54,0.01,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
21,3,6.5,6,5.5,6,10:52,5.083,0.34,26.68,0.01,6/12/23,NPK_Disturbance,,NPK_Disturbance,Yes
,,,,,,,,,,,,,,,
22,1,6.5,7,7.5,7,10:42,5.653,0,26.7,0,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
22,2,6.5,7,7.5,7,10:43,6.507,0,26.85,0,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
22,3,6.5,7,7.5,7,10:45,6.939,0,26.75,0,6/12/23,Control,,Control,Yes
,,,,,,,,,,,,,,,
23,1,7,5,8.5,6.8,10:33,6.929,0.34,26.78,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
23,2,7,5,8.5,6.8,10:35,7.846,0.34,26.79,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
23,3,7,5,8.5,6.8,10:36,7.479,0.34,26.68,0.01,6/12/23,Disturbance,,Disturbance,Yes
,,,,,,,,,,,,,,,
24,1,6.5,9,7.5,7.7,10:25,2.714,0.31,26.08,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
24,2,6.5,9,7.5,7.7,10:26,3.137,0.32,26.37,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
24,3,6.5,9,7.5,7.7,10:27,2.866,0.32,26.39,0.01,6/12/23,NPK ,,NPK ,Yes
,,,,,,,,,,,,,,,
25,1,8,9,8.5,8.5,10:14,3.465,0.24,24.53,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
25,2,8,9,8.5,8.5,10:16,3.883,0.25,24.55,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
25,3,8,9,8.5,8.5,10:17,3.931,0.25,24.54,0,6/12/23,NPK_Cessation,,NPK ,Yes
,,,,,,,,,,,,,,,
1,1,6,8,7,7,13:01,1.938,0.16,34.65,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,2,6,8,7,7,13:02,1.915,0.17,34.43,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,3,6,8,7,7,13:04,1.952,0.16,34.04,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
2,1,5,6,9,6.7,12:55,1.101,0.14,34.4,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,2,5,6,9,6.7,12:57,1.027,0.14,34.16,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,3,5,6,9,6.7,12:58,1.03,0.14,33.93,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
3,1,4,7,5,5.3,12:49,2.174,0.22,34.08,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,2,4,7,5,5.3,12:51,2.275,0.22,34.23,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,3,4,7,5,5.3,12:52,2.134,0.23,34.07,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
4,1,6,7.5,7.5,7,12:43,1.404,0.29,33.8,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,2,6,7.5,7.5,7,12:44,1.366,0.29,33.62,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,3,6,7.5,7.5,7,12:46,1.333,0.29,33.45,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
5,1,6.5,6,8,6.8,12:37,2.413,0.17,33.69,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,2,6.5,6,8,6.8,12:38,2.37,0.17,33.74,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,3,6.5,6,8,6.8,12:39,2.316,0.17,33.42,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,1,6.5,5.5,5.5,5.8,12:30,1.924,0.17,34.01,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,2,6.5,5.5,5.5,5.8,12:31,1.802,0.17,33.84,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,3,6.5,5.5,5.5,5.8,12:33,1.704,0.17,33.61,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
7,1,7,8,8,7.7,11:06,1.746,0.31,31.65,0.01,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,2,7,8,8,7.7,11:07,1.562,0.31,31.53,0.01,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,3,7,8,8,7.7,11:09,1.558,0.31,31.21,0.01,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
8,1,8.5,7,6,7.2,10:59,1.807,0.11,32.69,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,2,8.5,7,6,7.2,11:00,1.724,0.12,32.94,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,3,8.5,7,6,7.2,11:02,1.709,0.12,32.94,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
9,1,4.5,7.5,8,6.7,10:53,1.762,0.19,,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,2,4.5,7.5,8,6.7,10:54,1.627,0.19,,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,3,4.5,7.5,8,6.7,10:56,1.585,0.19,,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
10,1,7.5,6.5,9.5,7.8,10:46,2.021,0.26,,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,2,7.5,6.5,9.5,7.8,10:48,1.917,0.26,,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,3,7.5,6.5,9.5,7.8,10:50,2.141,0.26,,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
11,1,5,7,7,6.3,10:40,2.704,0.24,,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,2,5,7,7,6.3,10:41,2.439,0.24,,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,3,5,7,7,6.3,10:43,2.331,0.24,,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
12,1,7,6.5,7.5,7,10:34,1.224,0.24,,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,2,7,6.5,7.5,7,10:36,0.832,0.24,,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,3,7,6.5,7.5,7,10:38,0.832,0.24,,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
13,1,6,6,4.5,5.5,10:13,1.285,0.16,,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,2,6,6,4.5,5.5,10:15,1.265,0.16,,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,3,6,6,4.5,5.5,10:17,1.25,0.16,,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
14,1,6,8,7.5,7.2,11:51,1.008,0.09,33.05,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,2,6,8,7.5,7.2,11:52,0.952,0.09,33,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,3,6,8,7.5,7.2,11:53,0.955,0.08,32.95,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
15,1,8.5,7.5,8,8,11:44,1.503,0.17,31.43,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,2,8.5,7.5,8,8,11:46,1.461,0.17,31.36,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,3,8.5,7.5,8,8,11:47,1.407,0.17,31.28,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,1,6,6,7.5,6.5,11:38,2.253,0.14,31.87,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,2,6,6,7.5,6.5,11:40,1.969,0.15,31.85,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,3,6,6,7.5,6.5,,2.02,0.15,31.45,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
17,1,6.5,8,6.5,7,11:32,3.143,0.13,30.56,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,2,6.5,8,6.5,7,11:34,2.938,0.14,30.64,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,3,6.5,8,6.5,7,11:35,3.137,0.14,30.44,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
18,1,1,4,5,3.3,11:25,1.12,0.17,31.03,0.01,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,2,1,4,5,3.3,11:26,1.13,0.17,31.23,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
18,3,1,4,5,3.3,11:28,1.061,0.17,31.2,0,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
19,1,8,7,9.5,8.2,11:18,1.595,0.32,30.45,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,2,8,7,9.5,8.2,11:20,1.669,0.32,30.2,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
19,3,8,7,9.5,8.2,11:21,1.474,0.32,30.04,0.01,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
20,1,6,6,6,6,11:12,2.051,0.28,31.88,0.01,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,2,6,6,6,6,11:14,1.993,0.29,31.99,0.01,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
20,3,6,6,6,6,11:15,1.901,0.29,32,0.01,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
21,1,5,6.5,6,5.8,12:23,2.959,0.35,33.88,0.01,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,2,5,6.5,6,5.8,12:25,2.799,0.35,33.89,0.01,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
21,3,5,6.5,6,5.8,12:26,2.682,0.35,33.94,0.01,6/16/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
22,1,6,5.5,6,5.8,12:17,3.22,0.09,32.68,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,2,6,5.5,6,5.8,12:18,3.037,0.09,32.83,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
22,3,6,5.5,6,5.8,12:19,2.827,0.09,32.85,0,6/16/23,Control,,Control,No
,,,,,,,,,,,,,,,
23,1,4.5,8,6.5,6.2,12:11,2.938,0.3,32.3,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,2,4.5,8,6.5,6.2,12:12,2.823,0.31,32.25,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
23,3,4.5,8,6.5,6.2,12:14,2.755,0.31,32.28,0,6/16/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
24,1,6.5,9,7.5,7.7,12:04,2.048,0.27,31.68,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,2,6.5,9,7.5,7.7,12:05,2.033,0.27,31.39,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
24,3,6.5,9,7.5,7.7,12:06,2.137,0.27,31.21,0,6/16/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
25,1,8,7.5,8.5,8,11:57,2.978,0.24,31.56,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,2,8,7.5,8.5,8,11:59,2.917,0.24,31.68,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
25,3,8,7.5,8.5,8,12:00,2.839,0.24,31.61,0,6/16/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
1,1,6.5,8,7,7.2,11:19,1.425,0.25,24.84,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,2,6.5,8,7,7.2,11:20,1.416,0.25,24.86,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
1,3,6.5,8,7,7.2,11:21,1.323,0.25,24.79,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
2,1,7.5,6.5,9,7.7,11:26,1.007,0.12,24.15,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,2,7.5,6.5,9,7.7,11:27,0.928,0.12,24.2,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
2,3,7.5,6.5,9,7.7,11:29,0.923,0.12,24.18,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
3,1,4.5,8,7,6.5,11:37,2.207,0.27,24.32,0.01,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,2,4.5,8,7,6.5,11:38,2.062,0.27,24.59,0.01,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
3,3,4.5,8,7,6.5,11:39,2.077,0.27,24.7,0.01,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
4,1,7,8,8.5,7.8,11:43,1.336,0.36,25.05,0.01,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,2,7,8,8.5,7.8,11:44,1.336,0.36,25.07,0.01,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
4,3,7,8,8.5,7.8,11:46,1.175,0.36,25.01,0.01,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
5,1,5.5,9,7,7.2,11:51,2.97,0.38,24.98,0.01,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,2,5.5,9,7,7.2,11:52,2.705,0.38,24.98,0.01,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
5,3,5.5,9,7,7.2,11:54,2.511,0.38,24.95,0.01,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,1,6.5,7,6,6.5,11:59,1.933,0.25,25.57,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,2,6.5,7,6,6.5,12:00,4.209,0.25,25.74,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
6,3,6.5,7,6,6.5,12:02,2.566,0.25,25.78,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
7,1,8,9,8.5,8.5,12:07,1.58,0.29,25.96,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,2,8,9,8.5,8.5,12:09,1.64,0.29,26.11,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
7,3,8,9,8.5,8.5,11:51,0.29,0.29,26.56,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
8,1,8,8.5,7,7.8,12:16,3.097,0.28,30.44,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,2,8,8.5,7,7.8,12:17,2.761,0.28,30.01,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
8,3,8,8.5,7,7.8,12:19,2.593,0.28,29.84,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
9,1,5,8,8.5,7.2,12:22,1.389,0.21,27.85,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,2,5,8,8.5,7.2,12:23,1.308,0.21,27.71,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
9,3,5,8,8.5,7.2,12:25,1.404,0.21,27.7,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
10,1,7,8,8,7.7,12:30,2.003,0.19,29.49,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,2,7,8,8,7.7,12:31,1.971,0.19,29.52,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
10,3,7,8,8,7.7,12:32,1.791,0.19,29.61,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
11,1,6,7.5,9,7.5,12:37,2.887,0.13,30.96,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,2,6,7.5,9,7.5,12:38,2.882,0.12,30.96,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
11,3,6,7.5,9,7.5,12:40,2.868,0.13,31.07,0,6/23/23,NPK_Cessation,,NPK ,No
,,,,,,,,,,,,,,,
12,1,7,8,9,8,12:46,3.345,0.19,31.33,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,2,7,8,9,8,12:48,2.813,0.19,31.04,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
12,3,7,8,9,8,12:49,2.636,0.19,31.01,0,6/23/23,Disturbance,,Disturbance,No
,,,,,,,,,,,,,,,
13,1,5,6,7.5,6.2,12:54,2.926,0.24,30.19,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,2,5,6,7.5,6.2,12:55,2.759,0.24,30.22,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
13,3,5,6,7.5,6.2,12:56,2.739,0.24,30,0,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
14,1,7,6.5,8.5,7.3,13:09,0.91,0.16,30.49,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,2,7,6.5,8.5,7.3,13:11,0.882,0.16,31.04,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
14,3,7,6.5,8.5,7.3,13:12,0.818,0.16,30.97,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
15,1,6.5,7,8.5,7.3,13:18,1.375,0.25,32.11,0.01,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,2,6.5,7,8.5,7.3,13:19,1.371,0.25,32.14,0.01,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
15,3,6.5,7,8.5,7.3,13:21,1.344,0.25,32.14,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,1,6.5,7,7.5,7,13:25,2.174,0.17,32.86,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,2,6.5,7,7.5,7,13:27,2.193,0.17,32.81,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
16,3,6.5,7,7.5,7,13:28,2.201,0.17,32.53,0,6/23/23,Control,,Control,No
,,,,,,,,,,,,,,,
17,1,8,6.5,8,7.5,13:35,3.752,0.16,30.77,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,2,8,6.5,8,7.5,13:36,3.383,0.16,30.75,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
17,3,8,6.5,8,7.5,13:38,3.47,0.16,30.81,0,6/23/23,NPK ,,NPK ,No
,,,,,,,,,,,,,,,
18,1,2,7.5,6,5.2,13:42,2.373,0.25,33.29,0.01,6/23/23,NPK_Disturbance,,NPK_Disturbance,No
,,,,,,,,,,,,,,,
